iter	F1	Logloss
230	0.9286246283	0.2067923873
231	0.9289607532	0.206514152
232	0.9287927171	0.2062655015
233	0.9287927171	0.2059176958
234	0.9291064074	0.2057104775
235	0.9291287365	0.2054530149
236	0.9289159684	0.2050478186
237	0.9292074913	0.2048714496
238	0.9293755941	0.2047031581
239	0.9293755941	0.2044000273
240	0.9297116413	0.2039885659
241	0.9300474777	0.2036475902
242	0.9303611677	0.2031687475
243	0.9301493002	0.2027330994
244	0.9301493002	0.2025876337
245	0.9303392183	0.2021178964
246	0.9303392183	0.2019036569
247	0.9301933251	0.2016078912
248	0.9300254298	0.2011889711
249	0.9297116413	0.2009037977
250	0.9297116413	0.2006261676
251	0.9300474777	0.2003311455
252	0.9308208034	0.1998749704
253	0.9314698796	0.1994057156
254	0.9314914642	0.1991972437
255	0.9321185485	0.1988810702
256	0.9319510606	0.1987001196
257	0.9322646518	0.1985273987
258	0.9322859839	0.1982887386
259	0.9319510606	0.1979619116
260	0.9319510606	0.1975371343
261	0.9324533668	0.1971850405
262	0.9327456326	0.1968177602
263	0.9330591745	0.1964730801
264	0.9328918341	0.1959332021
265	0.9330591745	0.1956724523
266	0.9329129696	0.1951644021
267	0.9332054252	0.1948101744
268	0.9332054252	0.1946299935
269	0.9332264624	0.1942518856
270	0.9330169754	0.1938840433
271	0.9331843749	0.1937446138
272	0.933330714	0.1934667833
273	0.9344184622	0.1930699813
274	0.9345856679	0.1926449856
275	0.9345856679	0.1924145601
276	0.9342719295	0.1919470828
277	0.9349404248	0.1915564189
278	0.9349404248	0.1914292736
279	0.9355675078	0.191111288
280	0.9355878013	0.1908877411
281	0.93542091	0.1907056557
282	0.9357344022	0.1904886292
283	0.9355878013	0.19021894
284	0.9357344022	0.1898166652
285	0.9359012444	0.1895704719
286	0.9362146874	0.1892582298
287	0.9363814281	0.1889098829
288	0.9363814281	0.1887401172
289	0.9365281304	0.188438924
290	0.9363613866	0.188224277
291	0.9363212659	0.1879699334
292	0.9363413325	0.1876957783
293	0.9368017601	0.1874705193
294	0.9368216729	0.1868068869
295	0.9371153996	0.1866107517
296	0.9377426783	0.1862487667
297	0.9380758371	0.185902516
298	0.9378897091	0.1856898904
299	0.938683596	0.1852708196
300	0.9388500539	0.1850533403
301	0.938683596	0.184671892
302	0.9389779986	0.1843220181
303	0.9387029189	0.1840986391
304	0.9391636438	0.1838380391
305	0.9394772337	0.1833642547
306	0.9394772337	0.1830207043
307	0.9394772337	0.1828894742
308	0.9399381521	0.1827363867
309	0.9398097961	0.1821538054
310	0.9401232875	0.1819527472
311	0.9399759992	0.1817415981
312	0.9408790685	0.1814245891
313	0.941045182	0.1812244037
314	0.9407502702	0.1811159961
315	0.9407315924	0.18085396
316	0.9410265908	0.1806139538
317	0.9410265908	0.1804265555
318	0.9408790685	0.1803112318
319	0.9408790685	0.1800647816
320	0.9415247836	0.1798257416
321	0.9412297678	0.1795897445
322	0.9410823292	0.1793780362
323	0.9412297678	0.1793067996
324	0.9416907437	0.1790817268
325	0.9416723608	0.1788566559
326	0.9415063458	0.1785382517
327	0.9416539665	0.1783323081
328	0.9421518639	0.178086422
329	0.9418199844	0.1778619188
330	0.9421336229	0.1776178501
331	0.9424472613	0.1774380601
332	0.9427608997	0.1771455298
333	0.943074538	0.1769031838
334	0.943074538	0.1767382456
335	0.9431104189	0.1762937357
336	0.9431104189	0.1761263196
337	0.9432581983	0.1759647504
338	0.943240307	0.1755781152
339	0.943092484	0.1753978895
340	0.9427969772	0.1751138663
341	0.9432581983	0.1748898353
342	0.943406024	0.1746447099
343	0.943406024	0.1745181673
344	0.9437018144	0.1743339775
345	0.9436840539	0.1741265133
346	0.9441282185	0.1740009982
347	0.9438320623	0.1736527729
348	0.944145848	0.1734283204
349	0.9442939521	0.1731612912
350	0.9442939521	0.1729990242
351	0.9447734193	0.1727794707
352	0.9443290906	0.1725469345
353	0.9444771537	0.1723933993
354	0.9444771537	0.1723112994
355	0.9446427286	0.1720223604
356	0.9447908409	0.1719493791
357	0.9447908409	0.1717549934
358	0.9447908409	0.1715650278
359	0.9449389996	0.1714665992
360	0.9450872048	0.1713994484
361	0.9449389996	0.1710888374
362	0.9450872048	0.17078394
363	0.9454009903	0.1706701889
364	0.9453837547	0.1705010597
365	0.9458289287	0.1702360815
366	0.9456804908	0.1700060352
367	0.9456633322	0.1697809177
368	0.9456633322	0.1695880153
369	0.945514897	0.1694279083
370	0.945514897	0.1692755992
371	0.9456804908	0.1689865478
372	0.9456804908	0.1689307017
373	0.9456804908	0.1688770199
374	0.9456804908	0.1686310657
375	0.9460115225	0.1684813948
376	0.9459944732	0.1682189394
377	0.9464738987	0.1680517697
378	0.9463254062	0.1678077139
379	0.9464907948	0.1676414548
380	0.9466392899	0.167325885
381	0.9467878317	0.1671362308
382	0.9469531736	0.166944796
383	0.94693642	0.1667189035
384	0.94693642	0.1666229467
385	0.9471017646	0.1664583162
386	0.9472670572	0.1662601431
387	0.9472670572	0.1660414417
388	0.9472670572	0.1658531605
389	0.9471184636	0.1657056126
390	0.9471017646	0.165490006
391	0.9471017646	0.1653680959
392	0.9472670572	0.1652891687
393	0.9472670572	0.1650178792
394	0.9469699167	0.164851692
395	0.9471184636	0.1647050659
396	0.9474322979	0.1645257303
397	0.9477296302	0.1642457466
398	0.9477296302	0.1640601241
399	0.9477296302	0.1638962059
400	0.9477296302	0.1638003252
401	0.9478948242	0.1635818406
402	0.9483738005	0.1634109949
403	0.9482250567	0.163176392
404	0.9482413956	0.163044973
405	0.9483900953	0.1627458566
406	0.9484063798	0.1626711204
407	0.948555082	0.162502596
408	0.948555082	0.1624013347
409	0.948555082	0.1622293512
410	0.9490175664	0.1620879554
411	0.9491824547	0.1619694198
412	0.9491664111	0.1618029481
413	0.9490336542	0.1615934424
414	0.9490175664	0.161352358
415	0.9486876346	0.1611039766
416	0.9490014686	0.1608961333
417	0.9490014686	0.1608014764
418	0.9490014686	0.1605264929
419	0.9490175664	0.1603795446
420	0.9488526264	0.1602715762
421	0.9493313019	0.1597909167
422	0.9493313019	0.1596861224
423	0.9494801958	0.1596337057
424	0.9494961409	0.1595119862
425	0.9495120761	0.1593842029
426	0.9493472912	0.1589339446
427	0.9496768092	0.1587259857
428	0.9501077649	0.1584668326
429	0.9499587727	0.1582508541
430	0.9498098271	0.1579930899
431	0.9499587727	0.1577561542
432	0.9501077649	0.1577226034
433	0.9501077649	0.1576439204
434	0.9505550223	0.1574355632
435	0.9507042017	0.1572837583
436	0.9508534279	0.1572011165
437	0.9508534279	0.1570430969
438	0.9510181831	0.1569267707
439	0.9503902202	0.1566836636
440	0.9506886209	0.1564872927
441	0.9505393972	0.1561896471
442	0.9503902202	0.156020532
443	0.951002701	0.1557310927
444	0.9511674586	0.1555121295
445	0.951002701	0.1553475254
446	0.951002701	0.1552975064
447	0.951002701	0.1552378304
448	0.951002701	0.1550322406
449	0.9511520209	0.1549169892
450	0.9511520209	0.1545947202
451	0.9511520209	0.1544982518
452	0.9511520209	0.1544050883
453	0.9517955197	0.1541816528
454	0.9517955197	0.1539298474
455	0.951960127	0.153787777
456	0.9521095502	0.1536473704
457	0.9522741081	0.1535540223
458	0.9521095502	0.1534343502
459	0.9525880892	0.1531895054
460	0.9525731002	0.153037258
461	0.9527226666	0.1528533298
462	0.9522439233	0.1526569881
463	0.9524085376	0.1525323347
464	0.952737611	0.1524537834
465	0.9527674718	0.1522538865
466	0.9529169513	0.1521201441
467	0.9529169513	0.1519735056
468	0.9527525461	0.1517737837
469	0.9529020703	0.151549851
470	0.9530664778	0.1514403633
471	0.9532308338	0.1512229483
472	0.9535300321	0.150983999
473	0.9536943411	0.1508683371
474	0.9532012594	0.1506742343
475	0.9532012594	0.1505350866
476	0.9532012594	0.1504479053
477	0.9533509244	0.1502627805
478	0.9535153389	0.1498904937
479	0.9532012594	0.1498110212
480	0.9533509244	0.149592077
481	0.9533656716	0.1494149925
482	0.9533656716	0.1493017643
483	0.9538294184	0.1490023375
484	0.9541434978	0.1488706395
485	0.9542933107	0.1487504368
486	0.9542933107	0.1484466123
487	0.9541434978	0.1483426318
488	0.9541289927	0.1481127795
489	0.9545787072	0.1479151093
490	0.9545643275	0.1477905936
491	0.9547287062	0.1476666317
492	0.9550430817	0.1474459249
493	0.9552073593	0.1473529536
494	0.9555216852	0.1472177162
495	0.9550573086	0.147051128
496	0.9552215323	0.146925598
497	0.9553715852	0.1468281456
498	0.9556718324	0.146540897
499	0.9556718324	0.1464729446
